,frame,time,role1,x1,y1,role2,x2,y2,role3,x3,y3,role4,x4,y4,ballx,bally,speed1x,speed1y,speed2x,speed2y,speed3x,speed3y,speed4x,speed4y,shot,targetx,targety,fromx,fromy,duration,shot_full,lastHit,rally
41,13645,1.3666666666666667,receiver,3.9263961,14.354223,teammate,7.362264,13.18575,opponent,2.5022361,2.2181792,opponent,9.041811,2.2259538,6.484202391304347,8.313704426086957,0.8425079999999996,0.1370400000000238,-0.2147399999999866,0.30092999999999037,-0.3360030000000114,-0.6233099999999947,-0.3518699999999697,0.11111399999999438,undef,0,0,0,0,0,,B,0
42,13646,1.4,receiver,3.9544797,14.358791,teammate,7.355106,13.195781,opponent,2.491036,2.1974022,opponent,9.030082,2.2296576,6.276375173913044,8.830409478260869,1.0397190000000034,-2.118510000000011,-0.22803000000000573,0.1859700000000153,-0.32877599999999507,0.18149100000000473,-0.7620900000000219,-0.09845399999999671,undef,0,0,0,0,0,,B,0
43,13647,1.4333333333333333,receiver,3.989137,14.288174,teammate,7.347505,13.20198,opponent,2.4800768,2.2034519,opponent,9.004679,2.2263758,6.068547956521739,9.347114530434784,0.6118919999999894,1.6868700000000025,-0.4735379999999978,-2.9520300000000255,-0.9379019999999949,-1.0095570000000054,-1.4942999999999707,-1.1311829999999956,undef,0,0,0,0,0,,B,0
44,13648,1.4666666666666666,receiver,4.0095334,14.344403,teammate,7.3317204,13.103579,opponent,2.4488134,2.1698,opponent,8.954869,2.1886697,5.860720739130434,9.863819582608695,-0.08392199999998518,2.3691300000000304,-0.36247199999999147,-0.9309300000000142,-1.5146610000000083,-0.07055099999999204,-1.7606400000000022,-0.13499700000001003,undef,0,0,0,0,0,,B,0
45,13649,1.5,receiver,4.006736,14.423374,teammate,7.319638,13.072548,opponent,2.3983247,2.1674483,opponent,8.896181,2.1841698,5.652893521739131,10.380524634782608,0.682520999999987,1.295069999999967,-0.3659160000000039,-0.5197199999999569,-1.089941999999997,-1.494279000000005,-1.448310000000017,1.0911150000000092,undef,0,0,0,0,0,,B,0
46,13650,1.5333333333333334,receiver,4.0294867,14.466543,teammate,7.3074408,13.055224,opponent,2.3619933,2.117639,opponent,8.847904,2.2205403,5.445066304347826,10.897229686956521,0.007938000000011769,-0.01940999999996862,0.009768000000001109,0.03665999999995506,-0.003125999999999962,-0.004548000000004215,-0.001079999999991088,0.002459999999997464,undef,0,0,0,0,0,,B,0
47,13651,1.5666666666666667,receiver,4.0297513,14.465896,teammate,7.3077664,13.056446,opponent,2.3618891,2.1174874,opponent,8.847868,2.2206223,5.237239086956521,11.413934739130434,0.42078599999999966,0.004949999999972476,-0.21707999999999394,0.22284000000002635,-1.3642409999999927,0.1182900000000009,-2.5409700000000157,-0.002340000000007336,undef,0,0,0,0,0,,B,0
48,13652,1.6,receiver,4.0437775,14.466061,teammate,7.3005304,13.063874,opponent,2.3164144,2.1214304,opponent,8.763169,2.2205443,5.029411869565217,11.93063979130435,0.8903550000000049,-1.3397099999999718,-0.6343320000000219,0.1325999999999894,-0.9211440000000026,-0.18779699999999622,-1.6237649999999881,-0.43667699999999865,undef,0,0,0,0,0,,B,0
49,13653,1.6333333333333333,receiver,4.073456,14.421404,teammate,7.279386,13.068294,opponent,2.2857096,2.1151705,opponent,8.7090435,2.2059884,4.821584652173913,12.44734484347826,1.4520210000000056,-6.222600000000025,-0.830081999999992,-0.08793000000000717,-0.5646450000000014,1.0326569999999968,-1.586579999999973,-0.32512500000000166,undef,0,0,0,0,0,,B,0
50,13654,1.6666666666666667,receiver,4.1218567,14.213984,teammate,7.2517166,13.065363,opponent,2.2668881,2.1495924,opponent,8.6561575,2.1951509,4.613757434782609,12.964049895652174,1.49178899999999,-2.658269999999998,0.08051100000001199,0.9817500000000301,-0.08975700000000142,-0.07930799999999572,-0.7573650000000143,0.795369000000008,undef,0,0,0,0,0,,B,0
51,13655,1.7,receiver,4.171583,14.125375,teammate,7.2544003,13.098088,opponent,2.2638962,2.1469488,opponent,8.630912,2.2216632,4.405930217391304,13.480754947826087,0.7955999999999896,-3.8374499999999934,-0.3622200000000042,1.975949999999962,0.0956519999999994,0.2540010000000015,-1.0312500000000213,-0.16040999999999972,undef,0,0,0,0,0,,B,0
